customer_id,email,first_name,last_name,phone,address,city,state,zip_code,country,segment,registration_date,is_active,created_at,updated_at
19,atkinsonlynn@example.org,Ryan,Cox,626.728.4987x769,47379 Rogers Park,Hunterborough,MI,34363,USA,new,2026-01-18,True,2026-01-18,2026-01-19 11:52:07.003829
20,angela83@example.org,John,Russell,+1-837-577-0143,957 Coleman Summit Suite 574,Johnville,VA,25743,USA,new,2026-01-18,True,2026-01-18,2026-01-19 11:52:07.004286
21,jamesrodgers@example.com,Jenny,Bray,294.213.4352x40824,271 Audrey Mountains Suite 752,West Shelleyfort,DE,09065,USA,occasional,2024-09-05,True,2024-09-05,2026-01-19 11:52:07.004737
22,rayglenda@example.org,Edward,Hart,913-618-6999x3867,9909 Stacey Fords Apt. 412,East Andrea,GA,00851,USA,regular,2024-11-06,True,2024-11-06,2026-01-19 11:52:07.005174
23,ocarter@example.com,Jasmine,Warner,413.349.3618x324,49947 Taylor Hollow,Benderhaven,ND,65223,USA,premium,2023-11-13,True,2023-11-13,2026-01-19 11:52:07.005561
24,prestonjessica@example.net,John,Davis,+1-899-904-9027x87429,5655 Mia Isle,Steeleport,TN,52989,USA,regular,2024-12-03,True,2024-12-03,2026-01-19 11:52:07.005975
25,gibsonleonard@example.com,Darrell,Barton,608.476.0385x97703,7109 Jennifer Inlet Apt. 861,Port Robin,NH,15897,USA,occasional,2025-09-03,True,2025-09-03,2026-01-19 11:52:07.006378
26,tyronemoran@example.net,Janice,Perry,873.778.2639x8214,44997 Sean Orchard Suite 588,Gibsonmouth,VI,25228,USA,regular,2025-05-05,True,2025-05-05,2026-01-19 11:52:07.006819
27,ashleyhall@example.com,Bradley,Garner,001-366-927-0289x517,262 Terrance Greens,Cindyfurt,SD,11028,USA,regular,2026-01-03,False,2026-01-03,2026-01-19 11:52:07.007275
28,ofinley@example.net,Paige,Freeman,+1-309-313-4316,40050 Howard Meadows Apt. 386,East Gregory,RI,50641,USA,occasional,2025-10-01,True,2025-10-01,2026-01-19 11:52:07.007672
29,tyleraguilar@example.org,Steven,King,607-948-2175x946,67136 Andrews Squares Suite 064,New Michelleton,PW,79983,USA,regular,2025-04-15,True,2025-04-15,2026-01-19 11:52:07.008151
30,kimberly39@example.com,Jeffery,Lee,721-804-7095x214,28588 Rivas Glens,Coffeyport,WA,44897,USA,regular,2025-07-15,True,2025-07-15,2026-01-19 11:52:07.008571
31,jmccarty@example.org,Michelle,Ramsey,(885)716-0481x7549,370 Herman Forges,Lake Madisonport,SD,54017,USA,new,2026-01-18,True,2026-01-18,2026-01-19 11:52:07.009022
32,shahkevin@example.com,Darren,Young,+1-826-375-8692,640 Robinson Mills Apt. 515,Bruceview,ID,16512,USA,occasional,2024-04-13,True,2024-04-13,2026-01-19 11:52:07.009487
33,ndavis@example.net,Danielle,Maddox,5535293183,90422 Lindsey Creek Apt. 205,New Mario,HI,35283,USA,new,2026-01-18,True,2026-01-18,2026-01-19 11:52:07.009867
34,vfox@example.org,Thomas,Strickland,891.878.3908x47007,7115 Cameron Harbor,Oscarhaven,LA,59970,USA,regular,2024-02-26,True,2024-02-26,2026-01-19 11:52:07.010256
35,sgarcia@example.org,Melissa,Curtis,001-783-667-3657x66156,71111 Davis Streets Suite 280,Elizabethchester,MI,87708,USA,regular,2025-01-22,True,2025-01-22,2026-01-19 11:52:07.010657
36,uparrish@example.org,Tanya,Burke,(319)683-2731x585,8998 Chelsea Shoals,Anthonyview,UT,41000,USA,regular,2025-12-06,False,2025-12-06,2026-01-19 11:52:07.011007
37,adam29@example.net,Richard,Thomas,+1-301-283-6675x2545,90147 Tucker Mills,Nelsonhaven,DE,45743,USA,new,2026-01-18,True,2026-01-18,2026-01-19 11:52:07.011427
38,erika97@example.net,Elizabeth,Williams,(990)803-4324x4510,68388 Jones Wall,South Andrewland,VI,41534,USA,occasional,2024-11-27,True,2024-11-27,2026-01-19 11:52:07.011797
39,amckinney@example.com,Darius,Smith,829-675-1613x69681,52181 Rebecca Keys Suite 231,West James,PA,20537,USA,new,2026-01-18,True,2026-01-18,2026-01-19 11:52:07.012188
40,thompsonkendra@example.com,Steven,Elliott,001-979-995-5271,9058 Lance Mission Apt. 054,Lake Michelleland,RI,78368,USA,regular,2025-07-26,True,2025-07-26,2026-01-19 11:52:07.012620
41,ycarpenter@example.net,Paula,Cole,001-335-797-8207,203 Ritter Pine,West Nathan,LA,51280,USA,occasional,2025-01-23,True,2025-01-23,2026-01-19 11:52:07.013041
42,erika05@example.org,Mark,Grant,(344)692-5192x5462,528 Debbie Manors Suite 054,East Matthew,WI,64237,USA,occasional,2024-11-12,True,2024-11-12,2026-01-19 11:52:07.013404
43,ericphillips@example.org,William,Fernandez,001-980-259-2962x2292,3794 Young Garden Suite 735,Murrayport,WI,50553,USA,regular,2024-06-07,True,2024-06-07,2026-01-19 11:52:07.013811
44,mburch@example.net,Devon,Wright,+1-475-881-8141x2478,75060 Shaw Freeway,Vangstad,IN,04195,USA,new,2026-01-18,True,2026-01-18,2026-01-19 11:52:07.014238
45,combsdebra@example.org,Devin,Mitchell,827.379.0104x3289,41036 Brown Villages Suite 980,Lake Douglas,NE,00706,USA,premium,2023-09-08,True,2023-09-08,2026-01-19 11:52:07.014724
46,ashleylopez@example.net,Christopher,Villegas,288-888-8067,0515 Jessica Road Apt. 952,West Amyburgh,MP,90243,USA,regular,2025-04-11,True,2025-04-11,2026-01-19 11:52:07.015157
47,zwelch@example.org,Bryan,Parsons,904.630.3054x868,345 Michelle Isle,Davidstad,NE,52932,USA,occasional,2024-12-23,True,2024-12-23,2026-01-19 11:52:07.015526
48,lmorgan@example.com,Heather,Richardson,641.661.6928x45115,627 West Stream Suite 964,North Emilyfurt,MN,67752,USA,premium,2024-07-14,True,2024-07-14,2026-01-19 11:52:07.015939
49,stephaniethomas@example.net,Erika,Kim,(413)955-6909,7192 Sanders Run Suite 310,South April,PW,74120,USA,new,2026-01-18,True,2026-01-18,2026-01-19 11:52:07.016407
50,jane39@example.com,Heather,Lutz,712.317.2715,2258 David Flats Apt. 370,Angelastad,NH,72806,USA,new,2026-01-18,True,2026-01-18,2026-01-19 11:52:07.016779
51,jonesraymond@example.net,Jennifer,Fox,001-469-412-5177x85289,018 Kevin Estates Suite 358,Meghanview,ID,83739,USA,premium,2023-04-23,True,2023-04-23,2026-01-19 11:52:07.017201
52,david49@example.net,Clarence,Davidson,001-292-329-9590,943 Montgomery Burgs,Smallside,LA,84637,USA,occasional,2025-12-17,True,2025-12-17,2026-01-19 11:52:07.017609
53,zsanchez@example.net,Richard,Chavez,001-702-776-7735x925,58815 Steven Grove Suite 321,West Soniachester,IA,21433,USA,regular,2025-12-17,True,2025-12-17,2026-01-19 11:52:07.018011
54,james27@example.net,Steven,Koch,901.968.7339x5004,016 Nicole Stream Suite 650,Williamsside,ID,48017,USA,regular,2025-09-03,True,2025-09-03,2026-01-19 11:52:07.018413
55,hughesshannon@example.net,Joshua,Hays,+1-891-221-6558x52398,25787 Catherine Passage,West Sarah,MD,21800,USA,regular,2025-02-25,False,2025-02-25,2026-01-19 11:52:07.018859
56,brittney88@example.net,Tracy,Hart,505.251.6940x9749,89623 Ashley Squares Apt. 307,Robertchester,UT,27225,USA,new,2026-01-18,True,2026-01-18,2026-01-19 11:52:07.019216
57,vsalas@example.net,Bryan,Taylor,785.778.6527,733 Grant Fork Suite 437,Timothyside,WY,95090,USA,occasional,2024-11-13,True,2024-11-13,2026-01-19 11:52:07.019637
58,berryamy@example.com,Loretta,Blevins,(540)541-5747,421 John Skyway Apt. 301,Riverafort,CT,89786,USA,new,2026-01-18,True,2026-01-18,2026-01-19 11:52:07.020114
59,oconnelltiffany@example.org,Richard,Donovan,873.445.4019x3802,7240 Kenneth Rapids,West Justinside,NC,65239,USA,regular,2025-08-03,True,2025-08-03,2026-01-19 11:52:07.020520
60,melissamcdonald@example.org,Lisa,Rivera,001-774-320-5493x2966,122 Morris Gateway Apt. 463,Molinamouth,ME,76845,USA,occasional,2025-10-29,True,2025-10-29,2026-01-19 11:52:07.021003
61,greenmichael@example.org,Bryan,Wilson,426-984-1459x3327,8783 Erin Ranch Apt. 878,Christianshire,DE,08595,USA,occasional,2025-06-29,True,2025-06-29,2026-01-19 11:52:07.021420
62,ashleyhernandez@example.com,Melissa,Ramos,+1-239-971-8707x28679,064 Julie Prairie Apt. 065,New Virginialand,NJ,04660,USA,occasional,2025-09-15,True,2025-09-15,2026-01-19 11:52:07.021838
63,kaylacannon@example.net,Debbie,Fisher,(476)561-8251x2868,47868 Morrow Gateway,Reedview,ID,95531,USA,premium,2023-08-16,True,2023-08-16,2026-01-19 11:52:07.022335
64,pachecorobert@example.org,John,Jones,+1-207-490-3067x383,95995 Kevin Divide Apt. 644,New Stacyburgh,SC,89466,USA,premium,2024-07-30,False,2024-07-30,2026-01-19 11:52:07.022778
65,wwilliams@example.net,Emily,Floyd,266-824-6287x33427,826 Jonathan Isle Apt. 751,North Joseph,TX,79795,USA,new,2026-01-18,True,2026-01-18,2026-01-19 11:52:07.023174
66,lopezkathleen@example.net,Emily,Robinson,554.803.3173,546 Ferguson Knolls,Josehaven,FM,65680,USA,regular,2025-04-03,True,2025-04-03,2026-01-19 11:52:07.023649
67,ugill@example.org,Nathan,Gutierrez,001-632-404-8996,3693 Pierce Spur,Jonathanfort,VA,84609,USA,new,2026-01-18,False,2026-01-18,2026-01-19 11:52:07.024049
68,yjackson@example.com,Gary,Cortez,428.208.0100x6231,750 Hopkins Brook,New Andreatown,AK,69892,USA,premium,2024-07-11,True,2024-07-11,2026-01-19 11:52:07.024480
69,andre62@example.org,Samantha,Warren,739.884.5461,334 Desiree Walks Apt. 166,Tranton,SC,01739,USA,premium,2024-06-29,True,2024-06-29,2026-01-19 11:52:07.024889
70,porterryan@example.com,Ariel,Hodge,380-633-9740,50392 Hickman Hills,New John,MP,51508,USA,occasional,2025-06-15,True,2025-06-15,2026-01-19 11:52:07.025282
71,patrick21@example.net,Julie,Reed,763-215-9996,7358 Reynolds Springs Suite 194,Lake Charles,KY,20715,USA,regular,2025-05-27,True,2025-05-27,2026-01-19 11:52:07.025679
72,jodistewart@example.org,Christopher,Hahn,854.312.1267x888,58199 Shields Bridge,Robertland,VA,73840,USA,regular,2024-10-22,True,2024-10-22,2026-01-19 11:52:07.026155
73,ashleyjackson@example.com,Gavin,Adams,672-512-6464x715,937 Derek Avenue Suite 596,Scottchester,GU,85833,USA,regular,2025-11-09,True,2025-11-09,2026-01-19 11:52:07.026553
74,kevinmorrison@example.net,James,Edwards,(554)479-3564x6519,737 Guerra Cliff,Chambersberg,SC,40193,USA,occasional,2025-12-30,True,2025-12-30,2026-01-19 11:52:07.027029
75,jennifermccormick@example.org,Shane,Harper,001-368-386-8058,529 Anna Rue,Rasmussenmouth,WY,56921,USA,regular,2024-07-13,True,2024-07-13,2026-01-19 11:52:07.027464
76,greenwilliam@example.net,Angela,Watts,275.967.9825,6112 Collins Motorway,New Timothy,NJ,13296,USA,new,2026-01-18,True,2026-01-18,2026-01-19 11:52:07.027871
77,tflores@example.org,Lisa,Wilson,412-438-2825x86736,0937 Price Squares Apt. 341,Port Monicaburgh,MN,43228,USA,regular,2024-12-03,True,2024-12-03,2026-01-19 11:52:07.028265
78,bakermichelle@example.net,Tammy,Edwards,(396)491-5579x2499,34125 William Manor Apt. 966,South Cynthia,UT,85076,USA,regular,2024-06-10,True,2024-06-10,2026-01-19 11:52:07.028746
79,angelaburns@example.org,Jacob,Wilkinson,+1-905-807-2368x876,2190 Kelly Harbor Apt. 842,Cunninghamfort,OH,67453,USA,regular,2025-11-28,True,2025-11-28,2026-01-19 11:52:07.029190
80,adamsamy@example.com,Amber,Sherman,001-378-536-1340x74517,959 Martin Dam,Port Jamie,AR,75221,USA,regular,2024-04-10,True,2024-04-10,2026-01-19 11:52:07.029657
81,candice25@example.net,Kelly,Armstrong,412.660.4223x25367,7116 Neal Wells Suite 775,Port Kimland,VA,60590,USA,premium,2023-10-02,True,2023-10-02,2026-01-19 11:52:07.030037
82,melissa86@example.org,Tammy,Summers,345.945.8929x7500,27706 Wendy Curve,Erikview,CO,86299,USA,regular,2025-04-26,False,2025-04-26,2026-01-19 11:52:07.030355
83,watsonrebecca@example.org,Brett,Garrett,001-936-211-0371x2938,516 Tim Forks,Davisville,CT,41572,USA,new,2026-01-18,True,2026-01-18,2026-01-19 11:52:07.030743
84,derrick22@example.org,Alyssa,Smith,+1-327-853-2697x3112,5234 John Rapid Suite 043,Lake Peter,SD,07653,USA,regular,2024-10-13,True,2024-10-13,2026-01-19 11:52:07.031104
85,troyrodriguez@example.com,Danielle,Jones,4559269658,91043 Sandra Turnpike,Hunterhaven,WI,54952,USA,regular,2025-08-13,True,2025-08-13,2026-01-19 11:52:07.031522
86,imiller@example.net,Christina,Ramirez,218-532-8569x1463,1799 Kyle Streets,North Alexander,DC,92447,USA,new,2026-01-18,True,2026-01-18,2026-01-19 11:52:07.031957
87,hbenton@example.net,Krista,Le,(352)641-0564,7850 Villarreal Expressway,Ericville,MH,75724,USA,regular,2024-01-27,True,2024-01-27,2026-01-19 11:52:07.032375
88,perezwilliam@example.org,Michele,Smith,5757622086,5419 Wilson Spring,East Jeffreyhaven,AZ,53051,USA,new,2026-01-18,True,2026-01-18,2026-01-19 11:52:07.032856
89,xcline@example.com,Mark,Tran,7539494937,832 Sarah Burg,New Michael,MP,91394,USA,premium,2023-03-10,True,2023-03-10,2026-01-19 11:52:07.033203
90,aaron64@example.org,Jamie,Bird,(370)424-1038x65719,99062 Kelly Vista Suite 655,Nelsonland,ID,18341,USA,regular,2025-10-20,True,2025-10-20,2026-01-19 11:52:07.033626
91,moorefrank@example.com,Lee,Martinez,(537)747-4112x490,35680 Green Extensions,South Melissaside,WA,72606,USA,occasional,2025-08-10,True,2025-08-10,2026-01-19 11:52:07.034099
92,ygarcia@example.org,David,Brown,001-932-436-5199x41013,1070 Sandra Meadows,Crawfordfurt,TX,56424,USA,new,2026-01-18,True,2026-01-18,2026-01-19 11:52:07.034517
93,rebekahhill@example.com,Nicole,Johnson,+1-493-847-6870x146,838 Veronica Tunnel,Timothyfort,MI,74642,USA,regular,2024-05-24,True,2024-05-24,2026-01-19 11:52:07.034954
94,bnelson@example.com,Carla,Johnson,001-240-578-5932x13348,2239 Drake Square Suite 905,New Stacy,MP,65018,USA,new,2026-01-18,True,2026-01-18,2026-01-19 11:52:07.035314
95,tracydavis@example.org,Carolyn,Smith,405.393.2525x0029,56915 Morris Estate Suite 752,Jeffreyshire,GU,23484,USA,regular,2025-02-17,True,2025-02-17,2026-01-19 11:52:07.035822
96,david09@example.com,Melissa,Townsend,001-902-495-9391,135 Jackson Corners Suite 704,East Heather,MI,34141,USA,regular,2024-10-21,True,2024-10-21,2026-01-19 11:52:07.036222
97,williamssamuel@example.com,Tanya,Wilkerson,665.286.1793x2710,1152 Martin Club Apt. 599,Bushchester,SD,22127,USA,regular,2025-08-15,False,2025-08-15,2026-01-19 11:52:07.036568
98,gmoore@example.com,Jamie,Lee,001-988-444-4310x698,0614 Gonzalez Burg,East Danielle,CO,62572,USA,regular,2025-04-06,True,2025-04-06,2026-01-19 11:52:07.036819
99,kristen77@example.net,Joseph,May,(625)265-2704x7743,115 Arellano Radial,New Bruce,MS,68996,USA,occasional,2025-09-25,True,2025-09-25,2026-01-19 11:52:07.037056
100,parmstrong@example.com,Kent,Foster,001-508-598-9921x722,61632 Flores Stream,North Paulfurt,OH,43247,USA,new,2026-01-18,True,2026-01-18,2026-01-19 11:52:07.037310
101,astark@example.net,Cindy,Mills,(716)822-9991x19148,7997 Gerald Lodge Apt. 996,South Pamelamouth,UT,31640,USA,new,2026-01-18,False,2026-01-18,2026-01-19 11:52:07.037552
102,xmccall@example.org,Matthew,Leon,547-913-2475x4691,7850 Cameron Station,Taylorhaven,FM,75038,USA,new,2026-01-18,True,2026-01-18,2026-01-19 11:52:07.037803
103,nancygonzalez@example.org,John,Bryant,(934)457-8610x357,855 Mary Green Apt. 406,East Melissaborough,PR,29513,USA,regular,2024-02-09,True,2024-02-09,2026-01-19 11:52:07.038866
104,josephortiz@example.org,Michelle,Coffey,+1-707-922-9034x94466,74896 Adrian Shore Suite 899,Kennethville,NJ,08868,USA,regular,2025-05-05,True,2025-05-05,2026-01-19 11:52:07.039455
105,danielle44@example.net,Jennifer,Stafford,632-883-0965x2074,0993 Barber Forges Suite 584,Port Diane,OH,24242,USA,regular,2024-09-20,False,2024-09-20,2026-01-19 11:52:07.040294
106,qanderson@example.net,Lindsey,Hines,(751)635-3465,1709 Thomas Fields Apt. 684,Brownberg,DC,26754,USA,regular,2024-08-20,True,2024-08-20,2026-01-19 11:52:07.040689
107,tthomas@example.org,Kimberly,Freeman,+1-425-800-7432x9271,6760 Amanda Street Suite 058,North Erica,SC,96655,USA,regular,2024-09-25,True,2024-09-25,2026-01-19 11:52:07.041106
108,larry16@example.net,Brianna,Jackson,4447789856,3260 Jeffrey Curve Apt. 098,North Michael,SD,05398,USA,new,2026-01-18,False,2026-01-18,2026-01-19 11:52:07.041387
109,kelsey90@example.net,Virginia,Stanley,+1-200-616-7618x4723,184 Robert Cove Apt. 411,Gonzalezborough,WI,34972,USA,occasional,2024-10-18,True,2024-10-18,2026-01-19 11:52:07.041768
110,michaelortiz@example.org,Benjamin,Crawford,975.430.0119,114 Stephen Hill,Stevenville,GU,23399,USA,regular,2025-09-16,True,2025-09-16,2026-01-19 11:52:07.042191
111,michael56@example.net,Darrell,York,3027255794,16674 Vaughn Neck Suite 212,Port Erikchester,PW,77931,USA,new,2026-01-18,True,2026-01-18,2026-01-19 11:52:07.042492
112,ywhite@example.com,Cheryl,Huffman,001-527-771-6701x4508,3756 Mary Point,North Dawnburgh,NY,62011,USA,occasional,2025-01-05,True,2025-01-05,2026-01-19 11:52:07.042808
113,charlesvasquez@example.org,Mark,Ramirez,738.366.3177x97177,016 Johnson Plaza Apt. 199,Pamelaside,IL,86300,USA,premium,2024-10-01,True,2024-10-01,2026-01-19 11:52:07.043194
114,michael03@example.com,Martin,Saunders,+1-775-371-1305x548,72614 Jacob Walk,Lewisborough,VT,44794,USA,occasional,2025-05-23,True,2025-05-23,2026-01-19 11:52:07.043518
115,owilliams@example.net,Brianna,Barton,979.482.7080x869,216 Gordon Lights,Pettybury,KY,52650,USA,regular,2024-04-06,False,2024-04-06,2026-01-19 11:52:07.043868
116,shawn22@example.com,Carrie,Tanner,748.358.3339x45228,799 Craig Ville Suite 608,North Oscarton,TN,07920,USA,premium,2024-12-22,True,2024-12-22,2026-01-19 11:52:07.044279
117,tonyavega@example.org,Mary,Vaughn,638-205-7198x3863,6580 Julia Flats Suite 359,Port Jenny,ID,39059,USA,occasional,2024-06-12,True,2024-06-12,2026-01-19 11:52:07.044640
118,lopezglenn@example.net,David,Williams,484-722-9405x720,947 Jones Station,Aliciaburgh,NC,09437,USA,regular,2024-12-11,True,2024-12-11,2026-01-19 11:52:07.045051
119,robertherrera@example.org,Michael,Ware,+1-555-554-3987x80157,561 Scott Stream,Angelhaven,GU,49647,USA,new,2026-01-18,True,2026-01-18,2026-01-19 11:52:07.045415
120,stucker@example.net,James,Palmer,328-580-1336,120 Love Camp Apt. 102,Angelashire,GU,30338,USA,occasional,2025-01-28,True,2025-01-28,2026-01-19 11:52:07.045701
121,ohughes@example.com,Ryan,Smith,+1-318-609-1901x58144,6072 Derek Lock Suite 245,New Nancyberg,DE,05976,USA,regular,2025-11-14,True,2025-11-14,2026-01-19 11:52:07.046076
122,fmedina@example.com,Jason,Figueroa,001-453-268-2223x9431,814 John Flat Suite 552,North Justin,CA,25863,USA,occasional,2024-01-22,False,2024-01-22,2026-01-19 11:52:07.046333
123,qmurphy@example.com,Heather,Hernandez,001-855-662-0533,57775 Tucker Coves Apt. 914,New James,VA,82633,USA,regular,2024-09-06,True,2024-09-06,2026-01-19 11:52:07.046767
124,mcclainmelissa@example.net,Anthony,Perkins,(693)408-4887x2563,816 Shaw Shore Apt. 928,South Erik,OK,74663,USA,regular,2024-03-14,True,2024-03-14,2026-01-19 11:52:07.047107
125,jillwebb@example.com,Billy,Juarez,814.953.0385,05184 Lane Port Apt. 665,New Johnbury,NC,53695,USA,occasional,2025-05-14,True,2025-05-14,2026-01-19 11:52:07.047414
126,tommy79@example.org,Warren,Taylor,(731)384-3222,5177 Clark Estates,Johnsonton,DC,75669,USA,regular,2024-10-02,True,2024-10-02,2026-01-19 11:52:07.047750
127,crystalwilliams@example.net,Dylan,Jackson,(986)999-0413,36929 Cindy Pass Suite 257,East Nicholasberg,CT,02671,USA,premium,2024-03-26,True,2024-03-26,2026-01-19 11:52:07.048243
128,mserrano@example.org,Gregory,Valenzuela,+1-808-781-1729x806,863 Clarke Light,Briannashire,CT,56270,USA,new,2026-01-18,False,2026-01-18,2026-01-19 11:52:07.048545
129,fcannon@example.com,Carmen,Stephens,830-709-8180x635,69448 Cunningham Ridge,Victoriafurt,WV,27199,USA,premium,2023-04-26,True,2023-04-26,2026-01-19 11:52:07.048841
130,jwhite@example.net,Timothy,Hinton,001-556-821-3721,902 Oconnell Avenue Apt. 279,Davisview,IN,49107,USA,regular,2024-11-15,False,2024-11-15,2026-01-19 11:52:07.049168
131,ramseysarah@example.com,Christina,Meyer,001-590-427-7038x430,3021 Chan Knoll,Sullivanborough,NC,02515,USA,new,2026-01-18,True,2026-01-18,2026-01-19 11:52:07.049610
132,calhounandrea@example.net,Maria,Herman,(854)339-3769x042,451 Walter Via,Heatherfurt,OK,63891,USA,regular,2025-07-09,True,2025-07-09,2026-01-19 11:52:07.050047
133,susan77@example.net,Michelle,Olson,516-633-5658x804,5182 Edwards Forge,Ianborough,NM,97115,USA,new,2026-01-18,True,2026-01-18,2026-01-19 11:52:07.050353
134,moniqueclark@example.org,Mary,Huff,(721)911-7908x075,2846 Karen Crossroad Apt. 867,New Michaelburgh,NH,16277,USA,occasional,2024-06-12,False,2024-06-12,2026-01-19 11:52:07.050707
135,astewart@example.org,Emily,Gray,655-994-2843,2763 Haynes Landing Suite 647,New David,OK,90417,USA,occasional,2025-06-11,True,2025-06-11,2026-01-19 11:52:07.051004
136,lelinda@example.net,Ryan,James,(727)902-6728,8906 Hannah Circle Apt. 471,Garnerview,MN,47727,USA,new,2026-01-18,True,2026-01-18,2026-01-19 11:52:07.051411
137,maurice61@example.com,Michelle,Mccarty,999.982.4558,9472 Danielle Junction,Welchshire,MO,09852,USA,occasional,2025-03-03,False,2025-03-03,2026-01-19 11:52:07.051736
138,jeremy54@example.net,Joseph,Newman,675-398-7622x023,61117 Anthony Locks,North Joseberg,CO,86331,USA,regular,2024-03-16,True,2024-03-16,2026-01-19 11:52:07.052055
139,pparker@example.net,Justin,Sims,(682)900-5577,829 Welch Roads,Millsside,ME,46005,USA,regular,2025-11-29,True,2025-11-29,2026-01-19 11:52:07.052445
140,lindaramos@example.com,Robert,Moore,9089254780,64930 Lopez Points Suite 632,Claytonbury,KS,10883,USA,regular,2025-01-04,True,2025-01-04,2026-01-19 11:52:07.052856
141,zacharymarsh@example.net,Lindsey,Cohen,684-963-1224x1797,0208 Jacob Cove,Josephmouth,VA,01576,USA,occasional,2024-11-22,True,2024-11-22,2026-01-19 11:52:07.053188
142,alexisrobinson@example.com,Larry,Lloyd,(470)551-2046x187,0136 Wright Bypass Apt. 718,South Paul,ME,42845,USA,occasional,2024-07-06,True,2024-07-06,2026-01-19 11:52:07.053587
143,garnerandrea@example.org,Jon,Little,450.631.3650,3009 Barker Drives,Kellibury,GA,66026,USA,regular,2024-05-13,False,2024-05-13,2026-01-19 11:52:07.053901
144,sarah00@example.com,Deanna,Miles,227-835-8573,240 Mann Points Suite 873,New Michael,VA,61894,USA,new,2026-01-18,True,2026-01-18,2026-01-19 11:52:07.054177
145,caseymoore@example.com,Lori,Weaver,808.562.0959x351,294 Ortiz Islands Apt. 181,Port Sharonburgh,VI,04600,USA,regular,2024-08-06,True,2024-08-06,2026-01-19 11:52:07.054615
146,clee@example.net,Darlene,Price,389.994.0539x1037,8650 Rice Street,Port Kevinborough,NC,13230,USA,premium,2023-06-15,True,2023-06-15,2026-01-19 11:52:07.054981
